Game,ObstaclesCleared,Distance,Timestamp
1,7,1906,2025-09-10 12:50:18.580214
2,125,10477,2025-09-10 12:50:44.510462
3,221,21856,2025-09-10 12:51:33.490939
4,118,10085,2025-09-10 12:51:58.544668
5,140,13000,2025-09-10 12:52:29.914685
1,232,25073,2025-09-10 16:37:38.012643
2,122,11849,2025-09-10 16:38:06.945370
3,231,23579,2025-09-10 16:38:59.087086
4,105,9712,2025-09-10 16:39:23.333787
5,135,12649,2025-09-10 16:39:53.952406
1,102,9259,2025-09-10 16:46:54.496424
2,176,16183,2025-09-10 16:47:32.469467
3,130,11064,2025-09-10 16:47:59.736168
4,122,11512,2025-09-10 16:48:27.919262
5,232,22518,2025-09-10 16:49:18.127998
1,168,16760,2025-09-10 16:50:39.613977
2,166,14649,2025-09-10 16:51:14.423476
3,153,14415,2025-09-10 16:51:48.754511
4,162,15328,2025-09-10 16:52:25.204814
5,108,10147,2025-09-10 16:52:50.391922
1,7,1906,2025-09-10 17:00:09.699442
2,147,13804,2025-09-10 17:00:42.793451
3,186,19889,2025-09-10 17:01:28.038413
4,150,14587,2025-09-10 17:02:02.759382
5,216,22258,2025-09-10 17:02:53.096175
